name,start_time,end_time,report,connected,coordinates,busbari,busbarf,max_flow,max_flow_reverse,r,x,branch_associated_ess,branch_ovf_ab,branch_ovf_ba,dc,losses,binary_loss_model,candidate,branch_recourse,branch_recourse_start_time,dimensioned,branch_inv_cost,initial_investment,lifetime,voltage,owner
"L1_Lagunas220_Kimal220",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Lagunas220","Kimal220",660,660,0.005371901,0.02892562,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"L1_Kimal220_NuevaZaldivar220",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal220","NuevaZaldivar220",815,815,0.017458678,0.092975207,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"Tr1_Kimal500_Kimal220",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","Kimal220",1500,1500,0.0002,0.0096,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"L1_Kimal500_LosChangos500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","LosChangos500",1500,1500,0.000684,0.007306,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"Tr1_LosChangos500_LosChangos220",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","LosChangos220",1500,1500,0.0000667,0.0064,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"L1_LosChangos220_NuevaZaldivar220",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos220","NuevaZaldivar220",525,525,0.009946281,0.094008264,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,220,None
"L1_LosChangos500_Parinas500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"LosChangos500","Parinas500",1500,1500,0.001094,0.013196,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_Parinas500_Cumbre500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Parinas500","Cumbre500",1500,1500,0.000656,0.007918,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_Cumbre500_NuevaCardones500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Cumbre500","NuevaCardones500",1500,1500,0.000794,0.010098,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_NuevaCardones500_NuevaMaitencillo500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaCardones500","NuevaMaitencillo500",2360,2360,0.000596,0.007163,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_NuevaMaitencillo500_NuevaPandeAzucar500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaMaitencillo500","NuevaPandeAzucar500",2500,2500,0.000939,0.011297,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_NuevaPandeAzucar500_Polpaico500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPandeAzucar500","Polpaico500",2280,2280,0.001806,0.021724,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_Polpaico500_AltoJahuel500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Polpaico500","AltoJahuel500",1880,1880,0.000365,0.004163,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_AltoJahuel500_Ancoa500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"AltoJahuel500","Ancoa500",2765,2765,0.000624,0.007072,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_Ancoa500_NuevaCharrua500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Ancoa500","NuevaCharrua500",3000,3000,0.000559,0.007379,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,40,500,None
"L1_RioMalleco500_Pichirropulli500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"RioMalleco500","Pichirropulli500",483,483,0.0013972,0.016619333,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"LC_Kimal500_AltoJahuel500",2029-05-01-00:00,2060-01-01-00:00,true,true,0,"Kimal500","AltoJahuel500",3000,3000,0.0029925,0.055555556,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_Pichirropulli500_NuevaPuertoMontt500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"Pichirropulli500","NuevaPuertoMontt500",145,145,0.0007272,0.004,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
"L1_NuevaPuertoMontt500_Ancud500",1970-01-01-00:00,2060-01-01-00:00,true,true,0,"NuevaPuertoMontt500","NuevaAncud500",102,102,0.000528,0.004,,0,0,true,true,false,false,false,1970-01-01-00:00,false,0,0,30,500,None
