name,start_time,end_time,report,coordinates,prices,voltage,owner
"NuevaCharrua500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Cumbre500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Pichirropulli500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Polpaico500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaAncud500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"AltoJahuel500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaCardones500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Ancoa500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"RioMalleco500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaPandeAzucar500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaMaitencillo500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaPuertoMontt500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Parinas500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"NuevaZaldivar220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"Kimal500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"LosChangos500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Lagunas220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"Kimal220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"LosChangos220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"NuevaPozoAlmonte220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"Parinacota220",1970-01-01-00:00,2060-01-01-00:00,true,0,0,220,None
"Quillota500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Candelaria500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Rapel500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Concepcion500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Mulchen500",1970-01-01-00:00,2060-01-01-00:00,true,0,0,500,None
"Lagunas500",1970-01-01-00:00,2100-01-01-00:00,true,0,0,500,None
"VadoPedregoso500",1970-01-01-00:00,2100-01-01-00:00,true,0,0,500,None
