name,start_time,end_time,report,fuel_type,fuel_price,availability,consider_availability
"Fuel_ALMENDRADO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANCALI_1_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANDES_U1_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANDES_U2_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANDES_U3_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANDES_U4_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANTILHUE_U1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ANTILHUE_U2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ARAUCO_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_BIO_CRUZ_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CALLECALLE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CAMPICHE_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CANETE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CARDONES_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CASABLANCA_1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CASABLANCA_2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CELCO_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CELCO_BL2_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CEMENTOS_BIOBIO_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CENIZAS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CORTES_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_AGNI_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CERN_LEPANTO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHILE_GENERACION_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHILOE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHOLGUAN_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHOLGUAN_BL2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHUFKEN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CHUYACA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_SANTA_FE_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_TISSUE_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_COELEMU_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_COLIHUES_U1_HFO_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_COLIHUES_U2_HFO_fuel_oil",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_COMBARBALA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CONSTITUCION-EGEN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CONTULMO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CURACAUTIN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CURAUMA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DANISCO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DEGAN_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DEGAN_2_NAVE4_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DEGAN_2_NAVE5_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_DIEGO_DE_ALMAGRO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_CAMPESINO_BIOGAS_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_CANELO_1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_CANELO_2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_MOLLE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_NOGAL_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_PENON_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EL_SALVADOR_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EMELDA_U1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_EMELDA_U2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ENERGIA_PACIFICO_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ERMITANO_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESCUADRON_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESPERANZA_TG1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESPERANZA_DS1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESPERANZA_DS2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESPINOS_BL1_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESPINOS_BL2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_ESTANCILLA_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_GUACOLDA_1_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_GUACOLDA_2_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_GUACOLDA_3_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_GUACOLDA_4_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_GUACOLDA_5_Carbon",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HBS_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HBS_GNL_GN",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HORCONES_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HUASCO-TG_U1_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HUASCO-TG_U2_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_HUASCO-TG_U3_DIE_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAJA-EVE_1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAJA-EVE_2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_LAJA_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_LAJA_BL2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_CMPC_LAJA_BL3_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAS_VEGAS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAUTARO_1_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAUTARO_1_BL2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAUTARO_2_BL1_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LAUTARO_2_BL2_Biomasa",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LEBU_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LINARES_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LONQUIMAY_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOS_ALAMOS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOMA_LOS_COLORADOS_1_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOMA_LOS_COLORADOS_2_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOS_GUINDOS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOS_GUINDOS_2_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOS_PINOS_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOS_PINOS_BIOGAS-ETAPA_1_Biogas",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
"Fuel_LOUISIANA_PACIFIC_Diesel",1970-01-01-00:00,2050-01-01-00:00,true,coal,100,1e+100,false
