name,start_time,end_time,report,factor
"Proj_Candelaria500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Mulchen500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Concepcion500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Rapel500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Quillota500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaPozoAlmonte220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Parinacota220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_LosChangos220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Kimal220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Lagunas220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_LosChangos500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Kimal500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaZaldivar220",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Parinas500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaPuertoMontt500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaMaitencillo500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaPandeAzucar500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_RioMalleco500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Ancoa500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaCardones500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_AltoJahuel500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Ancud500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Polpaico500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Pichirropulli500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_Cumbre500",1970-01-01-00:00,2050-01-01-00:00,true,1
"Proj_NuevaCharrua500",1970-01-01-00:00,2050-01-01-00:00,true,1
