name,start_time,end_time,report,coordinates,connected,busbar,control_areas,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,heatrate_avg,cost_function,auxserv,flex,uc_linear,rampup,rampdn,faststart,startcost,shutdncost,mindntime,minuptime,is_ncre,forced_commit,initialstate,initialtime,fuel_name,unavailability,co2_emission,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"ALMENDRADO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"NuevaPuertoMontt500",SEN,2.955,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54208196,0.241463722,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ALMENDRADO_Diesel",0.000834805,0.58,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANCALI_1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,19.665,1.356509042,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANCALI_1_Biogas",0.624538562,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANDES_U1_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,7.039,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0.221015763,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANDES_U1_DIE_Diesel",0,0.41,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANDES_U2_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,7.039,0,0,0,0,0,0,0,0,0,0,0,0,0,9.78,0.221015763,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANDES_U2_DIE_Diesel",0,0.29,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANDES_U3_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,7.121,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0.211849383,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANDES_U3_DIE_Diesel",0,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANDES_U4_DIE",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,12.899,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0.207416817,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANDES_U4_DIE_Diesel",0,0.36,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANTILHUE_U1",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,46.432,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49,0.225934693,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANTILHUE_U1_Diesel",0.07822374,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ANTILHUE_U2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Pichirropulli500",SEN,47.971,0,0,0,0,0,0,0,0,0,0,0,0,0,29.49,0.229493663,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ANTILHUE_U2_Diesel",0.019755489,0.58,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"ARAUCO",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3514251,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_ARAUCO_Biomasa",0.015116648,0,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"BIO_CRUZ",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Quillota500",SEN,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0.267752854,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_BIO_CRUZ_GN",0,0.36,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CALLECALLE",2018-01-01-00:00,2022-08-31-00:00,true,0,true,"Pichirropulli500",SEN,11.6,0,0,0,0,0,0,0,0,0,0,0,0,0,21.68600997,0.222257955,0,0,flexible,false,100,100,false,0,0,0,0,false,0,off,0,"Fuel_CALLECALLE_Diesel",0.05434,0.35,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,500,None
"CAMPICHE",2018-01-01-00:00,2029-04-30-00:00,true,0,true,"Quillota500",SEN,248.59,120.17,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0.354550024,0,0,flexible,false,100,100,false,0,0,0,0,false,1,off,0,"Fuel_CAMPICHE_Carbon",0.060682639,0.4,false,false,2000-01-01-00:00,false,0,0,1,0,0,50,0,220,None
