time,scenario,L_NuevaCharrua500,L_Cumbre500,L_Pichirropulli500,L_Polpaico500,L_Ancud500,L_AltoJahuel500,L_NuevaCardones500,L_Ancoa500,L_RioMalleco500,L_NuevaPandeAzucar500,L_NuevaMaitencillo500,L_NuevaPuertoMontt500,L_Parinas500,L_NuevaZaldivar220,L_Kimal500,L_LosChangos500,L_Lagunas220,L_Kimal220,L_LosChangos220,L_Parinacota220,L_NuevaPozoAlmonte220,L_Quillota500,L_Rapel500,L_Concepcion500,L_Mulchen500,L_Candelaria500
2024-01-01-00:00,demanda_2024,0,41.79786564,97.84523162,1490.078743,0,1242.553361,275.5218044,499.7716322,0,441.667024,168.2841472,200.4835036,1.959844831,1420.761647,0,0,390.0367579,609.405524,0,47.49584,69.86481542,747.0902305,0,548.6778368,195.637703,0
2024-01-01-01:00,demanda_2024,0,45.30626134,94.26552802,1454.974149,0,1198.137261,275.2218026,487.2596983,0,429.6375864,171.6669657,194.1513012,1.959844831,1430.579558,0,0,392.7541769,687.1785524,0,46.5614956,69.63125148,730.0689475,0,532.2320198,187.967432,0
2024-01-01-02:00,demanda_2024,0,45.09424321,88.75278449,1395.006791,0,1137.769387,282.7458518,464.8970055,0,415.0155977,168.6829947,183.3620981,1.946028769,1435.488512,0,0,390.6290159,693.5538516,0,44.72617626,70.74068022,688.1911876,0,504.7033245,172.4437194,0
2024-01-01-03:00,demanda_2024,0,45.52837562,84.73556157,1341.105566,0,1078.049607,276.5178111,446.445211,0,392.6781764,171.69651,173.7686758,1.946028769,1416.148922,0,0,388.521274,691.1836081,0,42.55716249,71.47056756,649.217853,0,482.5455015,159.1638472,0
2024-01-01-04:00,demanda_2024,0,42.23199804,83.25595074,1303.524267,0,1035.897518,275.9538074,431.9043148,0,380.254671,170.9726755,168.8632572,1.960142911,1425.543647,0,0,380.4212743,687.5579788,0,40.15456261,72.2588459,627.9750215,0,462.9898144,150.6006193,0
2024-01-01-05:00,demanda_2024,0,41.68176044,82.63546879,1268.527356,0,1003.872992,269.7017664,423.3914949,0,369.57336,170.9726755,165.1536194,1.960142911,1437.392849,0,0,373.8541778,681.7635299,0,38.15239606,71.67493603,627.9750215,0,456.5955412,146.4220389,0
2024-01-01-06:00,demanda_2024,0,42.83271616,77.10681545,1210.558114,0,949.6404155,267.4937519,409.2475695,0,360.1779545,169.0079817,153.3860504,1.887601113,1440.482105,0,0,375.2651455,680.9953087,0,36.86211094,70.91585318,588.078575,0,434.9375186,135.5920741,0
2024-01-01-07:00,demanda_2024,0,42.41372791,74.4260152,1181.483757,0,912.8718342,262.2857178,403.7046798,0,339.2716215,166.6001239,146.3064852,1.887601113,1419.746001,0,0,360.8070815,684.6537279,0,33.16922596,65.86503284,569.4699898,0,417.8094342,126.3877489,0
2024-01-01-08:00,demanda_2024,0,44.82669648,78.62620076,1241.857915,0,952.9240959,265.3097376,416.9517451,0,342.838972,166.4376305,150.4917176,1.806405097,1409.928091,0,0,365.5625653,684.4804097,0,33.14697967,66.65331116,593.1894629,0,434.6836517,132.3178987,0
2024-01-01-09:00,demanda_2024,0,45.9473639,82.49228065,1307.951227,0,1007.692431,266.3537445,435.3447291,0,359.244636,168.6829947,158.19635,1.806405097,1418.984267,0,0,382.5986936,697.7978054,0,35.34936288,66.0694013,632.4780065,0,462.5296806,141.2016753,0
2024-01-01-10:00,demanda_2024,0,46.46731316,87.05043655,1382.07289,0,1083.554092,269.341764,459.0159555,0,364.408998,164.4286202,170.8743431,1.770060831,1418.434125,0,0,388.6954676,689.00542,0,38.05228773,64.60962664,672.9598411,0,482.4582347,154.0465172,0
2024-01-01-11:00,demanda_2024,0,46.13414179,90.07329736,1450.080564,0,1159.692275,277.3818167,478.8497967,0,407.4660885,170.692005,180.8890062,1.770060831,1416.699064,0,0,402.2128863,691.5349288,0,40.72184314,62.71191957,700.4167917,0,500.4827868,167.0401852,0
2024-01-01-12:00,demanda_2024,0,46.2250067,97.08156152,1505.285948,0,1223.663557,278.2338222,489.9796839,0,422.1710389,172.6123823,185.2372996,1.796445616,1415.556462,0,0,405.8709506,690.1483832,0,42.94647265,61.60249083,714.3197576,0,525.0999457,173.0733685,0
2024-01-01-13:00,demanda_2024,0,46.52284173,100.3271594,1572.001427,0,1290.356837,279.0018272,510.0781724,0,432.6864267,171.5487887,186.8543214,1.796445616,1425.078142,0,0,400.5406284,690.8557089,0,44.62606793,62.65352859,750.6363312,0,538.0550925,176.4620256,0
2024-01-01-14:00,demanda_2024,0,45.69496133,100.056693,1594.734463,0,1313.567274,281.1258412,510.3428197,0,439.0537324,173.2328119,183.8920464,1.903166405,1438.620087,0,0,405.9754667,698.1397575,0,45.04874754,64.78479959,738.7822233,0,529.3680835,175.9468581,0
2024-01-01-15:00,demanda_2024,0,46.12404568,100.1998811,1596.804366,0,1312.201955,283.7658585,509.1225018,0,430.4464624,166.8069337,182.7777962,1.903166405,1429.225363,0,0,410.5219181,684.0119821,0,44.57045219,64.08410776,718.3161567,0,513.7314672,172.6039937,0
2024-01-01-16:00,demanda_2024,0,46.2250067,99.75440687,1575.913902,0,1301.944773,285.0378668,507.0053238,0,421.9843752,164.1184055,183.1718603,1.946501078,1436.588795,0,0,413.7444986,667.8793368,0,43.62498465,62.44916013,702.7696013,0,502.7437891,169.0779587,0
2024-01-01-17:00,demanda_2024,0,46.82067676,99.11006022,1562.226221,0,1291.367865,281.713845,502.3445916,0,415.2230017,163.9115956,182.7098542,1.946501078,1463.122545,0,0,407.909015,658.5201541,0,42.92422635,63.50019789,688.9792099,0,506.504193,166.2617099,0
2024-01-01-18:00,demanda_2024,0,47.32043388,97.98046487,1550.787914,0,1287.531144,277.3338163,501.5506498,0,414.3104237,166.5410353,184.5035251,1.959471333,1493.04178,0,0,406.8115958,669.598466,0,42.64614766,65.25192749,695.7449448,0,511.8195319,163.7202172,0
2024-01-01-19:00,demanda_2024,0,46.62885082,96.83495971,1535.748216,0,1274.923539,275.149802,500.0509821,0,416.0111373,163.8968234,187.6016843,1.959471333,1464.392102,0,0,391.1864352,663.9117554,0,43.60273835,66.59492018,701.688885,0,518.7374057,167.1317705,0
2024-01-01-20:00,demanda_2024,0,46.04327687,97.66226899,1552.343333,0,1291.290094,280.0698343,507.6228341,0,435.7352669,173.2475841,195.1704325,1.90740998,1475.098703,0,0,404.3380475,669.2799353,0,49.30891304,70.50711628,704.2555863,0,537.0396247,175.4431388,0
2024-01-01-21:00,demanda_2024,0,47.71922994,107.7252135,1667.93484,0,1406.141142,285.7098712,540.9830904,0,494.0780393,181.6972446,214.805695,1.90740998,1486.270808,0,0,423.4993369,653.4751892,0,52.8794434,71.32459009,783.0353078,0,580.5540033,201.2702006,0
2024-01-01-22:00,demanda_2024,0,46.76514823,115.5051027,1674.04883,0,1421.004117,284.9178661,553.3774034,0,485.3255864,178.2848817,239.4279065,1.965647806,1446.406707,0,0,429.0212722,662.7172651,0,51.62252773,70.21516135,788.6190091,0,604.2270945,220.3428445,0
2024-01-01-23:00,demanda_2024,0,46.89639755,108.4013798,1585.988226,0,1339.577481,292.5019157,520.7522782,0,459.7941421,178.0632997,226.0297273,1.965647806,1463.503412,0,0,418.8832083,673.6456801,0,48.75275566,70.21516135,724.091235,0,570.4786595,201.6365419,0
2024-01-02-00:00,demanda_2024,0,46.26034309,99.6748579,1490.270179,0,1225.218984,286.9818796,478.2322865,0,425.468764,170.5590557,210.5117552,1.959844831,1455.759112,0,0,408.6754666,671.2004883,0,45.78287528,69.9815974,676.8324081,0,540.5223617,176.8856077,0
2024-01-02-01:00,demanda_2024,0,45.52837562,93.01660921,1399.014985,0,1138.832262,281.5938442,466.9553731,0,394.9181407,163.0548118,196.8010425,1.959844831,1431.214336,0,0,392.7367576,678.1238477,0,42.37919213,68.6678002,649.1728231,0,506.6628599,159.0722619,0
2024-01-02-02:00,demanda_2024,0,45.60914443,88.58573166,1335.613743,0,1078.213791,275.7978063,454.0758735,0,380.5450367,162.3309773,188.118044,1.946028769,1430.494921,0,0,382.9470806,670.1886847,0,39.2869571,68.87216865,616.1209137,0,484.1004364,146.9372063,0
2024-01-02-03:00,demanda_2024,0,44.65506271,85.55491595,1304.912179,0,1031.758353,279.1578283,441.740371,0,374.6962412,160.4105999,184.5578789,1.946028769,1431.172018,0,0,377.3380486,677.3415736,0,38.08565717,69.543665,590.8704256,0,473.2396918,141.3505015,0
2024-01-02-04:00,demanda_2024,0,43.897855,86.79587986,1305.917218,0,1036.649308,280.2498355,441.8873973,0,373.2651529,162.8332298,185.1014156,1.960142911,1421.100196,0,0,380.7870808,692.1719903,0,37.07345075,67.99630386,588.7877952,0,465.4412171,141.3619497,0
2024-01-02-05:00,demanda_2024,0,44.66515882,90.25625999,1351.9576,0,1070.816869,279.1098281,451.6793455,0,378.0354472,169.0522981,191.2026148,1.960142911,1438.196902,0,0,378.6619196,684.2743016,0,37.5294998,71.90849996,596.8481382,0,476.960429,142.7242813,0
2024-01-02-06:00,demanda_2024,0,44.22093031,90.99606541,1430.8532,0,1130.242846,274.225796,462.6475039,0,386.7049384,170.1749802,197.1679298,1.887601113,1457.367218,0,0,386.901274,679.5993945,0,39.15347934,75.17839518,613.8243913,0,479.3562981,143.3882749,0
2024-01-02-07:00,demanda_2024,0,44.15025757,98.11569811,1597.558146,0,1272.365724,268.7897604,505.4174403,0,394.5448133,166.4228583,215.3220548,1.887601113,1474.717835,0,0,384.8109516,671.7298114,0,40.74408944,75.03241771,657.5146028,0,513.4538002,160.2514229,0
2024-01-02-08:00,demanda_2024,0,43.69088489,113.6436568,1870.67763,0,1522.011859,281.845846,599.2937015,0,444.4877198,165.063822,248.1244933,1.806405097,1477.595499,0,0,396.5690156,662.3706287,0,46.00533822,74.59448531,753.3381222,0,598.2612217,202.0715722,0
2024-01-02-09:00,demanda_2024,0,44.0543446,126.5942289,2073.611856,0,1717.771067,290.2339008,663.1472023,0,494.7417324,152.7881789,270.2736129,1.806405097,1435.615469,0,0,417.0019178,662.42684,0,51.48904996,72.75516923,839.1199851,0,665.7342918,234.2981585,0
2024-01-02-10:00,demanda_2024,0,43.49905895,136.6492186,2197.758163,0,1827.783007,296.2579403,693.8021756,0,528.1960133,141.3545474,288.3190305,1.770060831,1440.101238,0,0,431.5819173,662.4736827,0,55.74921547,70.09837937,892.4128118,0,702.3466632,255.3398869,0
2024-01-02-11:00,demanda_2024,0,39.84931777,142.4960677,2292.734396,0,1904.880369,298.7779568,712.1216465,0,547.3394114,141.5613573,300.0186576,1.770060831,1448.945821,0,0,446.4580456,647.5074221,0,58.73021901,69.9815974,914.7813895,0,728.8995574,267.2116348,0
2024-01-02-12:00,demanda_2024,0,40.4298437,142.5517521,2360.012219,0,1978.936008,298.1299526,701.9768352,0,562.3762083,158.1209191,307.9407046,1.796445616,1437.64676,0,0,448.2522392,654.8102078,0,60.40981429,65.07675453,948.9590451,0,735.2303641,269.5585087,0
2024-01-02-13:00,demanda_2024,0,40.00075932,140.4516593,2384.635687,0,2013.362805,295.0939327,699.903765,0,567.5405704,173.6464317,311.2562784,1.796445616,1438.958636,0,0,440.5703039,642.5139842,0,60.27633651,65.68985988,943.0263625,0,736.2696318,270.0393317,0
2024-01-02-14:00,demanda_2024,0,40.77311119,142.6869853,2435.138922,0,2048.204385,301.6819758,713.0773171,0,569.593871,173.8680136,317.1128861,1.903166405,1417.164568,0,0,442.8696588,642.9262004,0,60.00938097,66.9452661,957.1432202,0,738.5544342,274.7330796,0
2024-01-02-15:00,demanda_2024,0,43.75650957,142.3051503,2483.452606,0,2085.89758,301.9579776,724.5012568,0,566.3168862,176.3201879,318.349432,1.903166405,1432.483894,0,0,451.7186906,637.9702368,0,59.53108563,67.58756695,973.2751638,0,738.6337676,275.5458994,0
2024-01-02-16:00,demanda_2024,0,45.05385877,142.5835717,2472.277523,0,2075.579911,304.2499927,722.8398602,0,552.6282159,174.237317,314.0962575,1.946501078,1342.853144,0,0,453.1296583,639.3708352,0,57.80699776,68.08389034,950.0397615,0,729.9070919,273.1417846,0
2024-01-02-17:00,demanda_2024,0,44.66011077,139.934591,2389.672849,0,2007.590441,302.1859791,707.8578852,0,535.8699648,171.5340165,302.5053379,1.946501078,1446.787573,0,0,444.1064329,651.4047394,0,55.68247659,69.31010106,911.1001993,0,712.9138742,263.0330543,0
2024-01-02-18:00,demanda_2024,0,43.8574706,135.1616529,2241.489346,0,1887.658329,290.3299016,664.8380041,0,513.5947649,175.1384172,293.482629,1.959471333,1509.757618,0,0,437.121272,648.5192256,0,52.03408419,67.82113089,886.986715,0,686.6545136,247.669616,0
2024-01-02-19:00,demanda_2024,0,44.04929655,131.4626258,2136.020023,0,1789.709595,289.2018941,633.2273602,0,504.8423119,176.6451748,289.7865796,1.959471333,1518.813794,0,0,420.9212725,648.1304307,0,51.65589718,70.94504868,853.0792384,0,670.1928298,242.5980785,0
2024-01-02-20:00,demanda_2024,0,42.86805254,128.8931941,2080.001036,0,1743.781274,292.2139139,608.5122474,0,519.3605987,175.22705,288.49568,1.90740998,1512.762238,0,0,433.0799818,651.8216399,0,56.61682098,75.26598171,847.2141006,0,664.2666236,241.6478809,0
2024-01-02-21:00,demanda_2024,0,43.91299917,134.5093513,2113.131445,0,1795.793045,306.146005,624.5234061,0,558.3733093,178.0189832,300.6029595,1.90740998,1507.895601,0,0,445.5870781,656.5199684,0,59.15289861,77.57242566,908.7473897,0,687.0035806,259.140678,0
2024-01-02-22:00,demanda_2024,0,44.80650426,140.7459905,2042.670997,0,1736.600383,303.9979909,609.8795916,0,541.0343268,180.7222837,314.4495563,1.965647806,1502.26723,0,0,436.4941752,648.4349086,0,56.17189507,76.40460592,884.2624091,0,703.5366645,271.2184928,0
2024-01-02-23:00,demanda_2024,0,46.78029236,130.834189,1920.774063,0,1600.241227,305.4140003,571.5792532,0,504.946014,176.5860863,300.4534869,1.965647806,1496.131036,0,0,427.4012722,645.1324943,0,52.35665547,74.44850784,815.6256613,0,661.2122871,246.2156989,0
2024-01-03-00:00,demanda_2024,0,46.55817812,118.9177535,1767.014984,0,1452.397831,300.2059662,531.3234657,0,465.5184952,177.2508323,278.7799619,1.959844831,1465.492385,0,0,413.605144,649.9947725,0,48.174352,71.67493603,765.7213307,0,615.1275059,214.6302098,0
2024-01-03-01:00,demanda_2024,0,46.08366127,108.5922973,1652.225115,0,1342.429097,292.5859163,505.4762508,0,433.0182733,173.2623562,262.3379774,1.959844831,1425.966832,0,0,391.8483706,649.4982392,0,44.33686609,70.79907121,718.856515,0,573.6361295,192.3406313,0
2024-01-03-02:00,demanda_2024,0,47.17404036,102.3158837,1554.150011,0,1258.928558,291.3499082,483.7604735,0,413.6467306,171.8294592,252.092311,1.946028769,1415.725737,0,0,377.7735324,647.7135302,0,40.84419777,71.58734956,674.9974417,0,544.6794327,175.8781691,0
2024-01-03-03:00,demanda_2024,0,46.92163779,98.52935274,1506.566176,0,1224.104262,289.6218969,472.0718865,0,403.7535551,172.4942052,244.5643281,1.946028769,1433.457221,0,0,375.5612746,663.6962787,0,38.79753862,73.04712417,652.6063491,0,524.8936788,167.578249,0
2024-01-03-04:00,demanda_2024,0,47.38101047,99.23733857,1494.780891,0,1207.737706,288.5538898,468.9696327,0,400.3313876,173.8384694,243.3549589,1.960142911,1419.703683,0,0,374.1677262,664.4785527,0,38.14127291,73.68942504,632.342917,0,516.4446701,165.0711007,0
