name,start_time,end_time,report,coordinates,busbar,connected,control_areas,ess_associated_generators,pmax,ess_pmaxc,pmin,ess_pminc,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,uc_linear,ess_type,ess_eini,ess_emax,ess_emin,ess_effn,ess_intrastage_balance,ess_effc,ess_effd,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"LA_CABA�A_ETAPA_2_BESS",2024-03-01-00:00,2060-01-01-00:00,true,0,"NuevaPuertoMontt500",true,SEN,,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,32,64,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"SOCOMPA_FV_BESS",2025-12-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",false,SEN,,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,160,1000,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"ARBOLEDA_FV_BESS",2025-12-01-00:00,2060-01-01-00:00,true,0,"AltoJahuel500",false,SEN,,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,50,160,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"DIEGO_DE_ALMAGRO_SUR_FV_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"NuevaCardones500",true,SEN,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,16,32,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"ANDES_IIB_FV_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",true,SEN,,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,280,560,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"SAN_MARCOS_FV_BESS",2024-05-01-00:00,2060-01-01-00:00,true,0,"Parinacota220",true,SEN,,2.9,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,1.15,2.299999999,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"ANDES_IV_FV_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",true,SEN,,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,325,650,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"ANDES_SOLAR_IIB_AMP_FV_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",true,SEN,,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,42.5,85,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"URIBE_SOLAR_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"Kimal220",true,SEN,,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,2.3,4.6,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"ZALDIVAR_BESS",2026-12-01-00:00,2060-01-01-00:00,true,0,"Kimal220",true,SEN,,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,70,140,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"COYA_BESS",2018-01-01-00:00,2060-01-01-00:00,true,0,"Kimal220",true,SEN,,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,319,638.0000001,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"SAN_ANDRES_FV_BESS",2024-02-01-00:00,2060-01-01-00:00,true,0,"NuevaCardones500",true,SEN,,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,87.5,175,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"Alfalfal_VR1_DAM",2018-01-01-00:00,2060-01-01-00:00,true,0,"AltoJahuel500",true,SEN,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,25,50,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"Alfalfal_VR2_DAM",2018-01-01-00:00,2060-01-01-00:00,true,0,"AltoJahuel500",true,SEN,,49.25,49.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,98.5,197,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"EL MANZANO_BESS",2024-04-01-00:00,2060-01-01-00:00,true,0,"Polpaico500",true,SEN,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,60,120,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"DON HUMBERTO_BESS",2024-06-01-00:00,2060-01-01-00:00,true,0,"Polpaico500",true,SEN,,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,60,120,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"ANDES IIA_BESS",2024-09-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",true,SEN,,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,134.4,268.8,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"ALICANTO_BESS",2024-11-01-00:00,2060-01-01-00:00,true,0,"NuevaCardones500",false,SEN,,1.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,4.8,9.6,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"TAMAYA_BESS",2024-11-01-00:00,2060-01-01-00:00,true,0,"Kimal220",true,SEN,,68.2,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,210,420,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,110,None
"CENTRAL DESIERTO DE ATACAMA_BESS",2024-12-01-00:00,2060-01-01-00:00,true,0,"NuevaCardones500",true,SEN,,110,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,110,220,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
"ANDES III_E1_BESS",2025-05-01-00:00,2060-01-01-00:00,true,0,"NuevaZaldivar220",true,SEN,,171.3,171.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,256.95,513.9,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"SALVADOR_PV_BESS",2024-02-01-00:00,2060-01-01-00:00,true,0,"NuevaCardones500",true,SEN,,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,125,250,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"GENERACION SOLAR_BESS",2024-05-01-00:00,2060-01-01-00:00,true,0,"Kimal220",true,SEN,,60.5,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,60.5,121,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"CAPRICORNIO_BESS",2024-12-01-00:00,2060-01-01-00:00,true,0,"LosChangos220",true,SEN,,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,132.096,264.192,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"QUILLAGUA 95_BESS",2025-01-01-00:00,2060-01-01-00:00,true,0,"Lagunas220",true,SEN,,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,237.5,589,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,220,None
"PILOTO_BESS",2024-03-01-00:00,2060-01-01-00:00,true,0,"NuevaPandeAzucar500",true,SEN,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,false,energy_only,3,6,0,1,true,0.9,0.9,false,0,0.032876712,false,false,1970-01-01-00:00,false,0,0,1,0.02,0,50,0,500,None
