name,start_time,end_time,report,coordinates,connected,busbar,control_areas,hydro_group_name,use_pump_mode,pmax,pmin,pmax_pump,pmin_pump,pump_reserve_mode,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,eff,eff_poly,eff_pump,performance_curve,use_performance_curve,auxserv,flex,uc_linear,rampup,rampdn,startcost,shutdncost,mindntime,minuptime,is_ncre,forced_commit,initialstate,initialtime,unavailability,use_ds71_2016,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"Los Hierros 2",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Los Hierros 2",false,6,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1,1,0,false,0.001785714,flexible,false,100,100,0,0,0,0,true,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.019490273,0,50,5.7,500,None
"Ojos de Agua",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Ojos de Agua",false,9,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,1,1,0,false,0.0017,flexible,false,100,100,0,0,0,0,true,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.007088459,0,50,12.5,500,None
"Abanico",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Concepcion500",SEN,"HG_Abanico",false,136,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,1,1,0,false,0.0031,flexible,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.008125937,0,50,220,500,None
"San Clemente",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_San Clemente",false,5.883,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,1,1,0,false,0.0025,flexible,false,100,100,0,0,0,0,true,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.037580685,0,50,22.5,500,None
"Robleria",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Robleria",false,3.9908,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,1,1,0,false,0.0023,flexible,false,100,100,0,0,0,0,true,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.008509069,0,50,7.2,500,None
"Chacayes",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Chacayes",false,111.7,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54,1,1,0,false,0.0025,flexible,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.03150666,0,50,289.2,500,None
"Chacabuquito",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"HG_Chacabuquito",false,25.6358,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,1.22,1,1,0,false,0.0025,flexible,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.008549055,0,50,24.1,500,None
"Confluencia",2018-01-01-00:00,2019-02-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Confluencia",false,162.384,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,3.11,1,1,0,false,0.0025,flexible,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.033428185,0,50,735.7,500,None
"Angostura",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Mulchen500",SEN,"HG_Angostura",false,281.2060982,36,100,0,no,9.63,9.63,285,285,0,0,0,0,0,0,0,0,0,0.43,1,1,0,false,0.008647313,stage_block_scenario,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.002420328,0,50,1422.4,500,None
"Blanco",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"HG_Blanco",false,52.8675,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,5.76,1,1,0,false,0.0025,flexible,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.028860843,0,50,162.1,500,None
"Curillinque",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Ancoa500",SEN,"HG_Curillinque",false,89,0.5,100,0,no,8.9,8.9,88.9,88.9,0,0,0,0,0,0,0,0,0,1.01,1,1,0,false,0.0025,stage_block_scenario,false,100,100,0,0,0,0,false,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.01390948,0,50,316.8,500,None
"Juncalito",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Polpaico500",SEN,"HG_Juncalito",false,1.52,0,100,0,no,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,1,1,0,false,0.026618106,flexible,false,100,100,0,0,0,0,true,0,off,0,0.054794521,false,false,false,1970-01-01-00:00,false,0,0,1,0.019013506,0,50,79.5,500,None
