name,start_time,end_time,report,coordinates,connected,busbar,control_areas,zone,pmax,pmin,rpmax_up,rpmax_down,rsmax_up,rsmax_down,rtmax_up,rtmax_down,pcost_rp_up,pcost_rs_up,pcost_rt_up,pcost_rp_down,pcost_rs_down,pcost_rt_down,vomc_avg,auxserv,flex,is_ncre,forced_commit,unavailability,candidate,gen_recourse,gen_recourse_start_time,dimensioned,gen_inv_cost,initial_investment,recog_pot,forced_outage_rate,fom_cost,lifetime,inertia,voltage,owner
"CAMPOS_DEL_SOL_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_LuzdelNorte",381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05839,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.0178,0,30,0,500,None
"CEME1_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_PV_Kimal220",380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"CAMPOS_DEL_SOL_II_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_PV_Cumbre500",369.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"DESIERTO DE ATACAMA_FV",2024-10-01-00:00,2060-01-01-00:00,true,0,true,"NuevaMaitencillo500",SEN,"Profile_PFV_Sol_de_Vallenar",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"SOCOMPA_FV",2025-12-01-00:00,2060-01-01-00:00,true,0,false,"NuevaZaldivar220",SEN,"Profile_ANDESSOLAR",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01720578,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00614283,0,50,0,220,None
"ZALDIVAR_FV",2026-12-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_URIBESOLAR",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530303,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.00749891,0,50,0,220,None
"PFV GABRIELA_FV",2025-04-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_FVBOLERO",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"DIEGO_DE_ALMAGRO_SUR_FV",2018-01-01-00:00,2060-01-01-00:00,true,0,true,"Cumbre500",SEN,"Profile_PV_Cumbre500",208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05838987,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
"TOCOPILLA_FV",2024-04-01-00:00,2060-01-01-00:00,true,0,true,"Kimal220",SEN,"Profile_MARIAELENAFV",200.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00420588,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,220,None
"GRAN_TENO_FV",2023-11-01-00:00,2060-01-01-00:00,true,0,true,"AltoJahuel500",SEN,"Profile_ElPicurio",200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00333333,renewable,true,0,0,false,false,1970-01-01-00:00,false,0,0,1,0.01782907,0,50,0,500,None
