name,start_time,end_time,report,h_type,ini,end,h_max_flow,h_min_flow,h_ramp,h_delay,h_delayed_q,h_flow_penalty
"inflow Afl_Cipreses -> Emb_Cipreses 1",1970-01-01-00:00,2060-01-01-00:00,true,inflow,"Afl_Cipreses","Emb_Cipreses",99999,0,99999,0,0,0
"Emb_Pangue_overflow",1970-01-01-00:00,2060-01-01-00:00,true,overflow,"Emb_Pangue","HG_Angostura",99999,0,99999,0,0,0
"HG_Palmucho_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Palmucho","Emb_Pangue",99999,0,99999,0,0,0
"turbinated HG_La_Mina -> B_M_Isla 1",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_La Mina","B_M_Isla",99999,0,99999,0,0,0
"HG_Juncal_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Juncal","HG_Juncalito",99999,0,99999,0,0,0
"Emb_Ralco_overflow",1970-01-01-00:00,2060-01-01-00:00,true,overflow,"Emb_Ralco","HG_Palmucho",99999,0,99999,0,0,0
"HG_Quilleco_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Quilleco","Balance_Tucapel",99999,0,99999,0,0,0
"HG_Hornitos_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Hornitos","HG_Juncal",99999,0,99999,0,0,0
"HG_Abanico_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Abanico","HG_Antuco",99999,0,99999,0,0,0
"HG_Rucue_spilled",1970-01-01-00:00,2060-01-01-00:00,true,spilled,"HG_Rucue","HG_Quilleco",99999,0,99999,0,0,0
"Emb_ElToro_overflow",1970-01-01-00:00,2060-01-01-00:00,true,overflow,"Emb_ElToro","HG_Abanico",99999,0,99999,0,0,0
"waterway CANHORN",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANHORN","HG_Hornitos",99999,0,99999,0,0,0
"waterway Rio_Melado",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"Rio_Melado","C_Melado",99999,0,99999,0,0,0
"waterway Rio_Teno",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"Rio_Teno","Emb_Rapel",99999,0,99999,0,0,0
"turbinated HG_Juncalito",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Juncalito","CANACO",99999,0,99999,0,0,0
"waterway CANACO",1970-01-01-00:00,2060-01-01-00:00,true,waterway,"CANACO","HG_Los Quilos",99999,0,99999,0,0,0
"turbinated HG_LomaAlta",1970-01-01-00:00,2060-01-01-00:00,true,turbinated,"HG_Loma Alta","B_Maule",99999,0,99999,0,0,0
