name,start_time,end_time,report,power
"Profile_CSP_Cerro_Dominador",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_CarreraPinto",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Chanares",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cintac",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ConejoSolar",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Cordillerilla",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElChincol",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElDivisadero",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElPelicano",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElPitio",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_LosPatos",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_LuzdelNorte",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PampaSolarNorte",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Peralillo",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PFVLosGorriones",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PFVLosLoros",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PFVMarchigueII",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PVSalvador",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Quilapilun",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SantiagoSolar",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SDGx01",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarDiegodeAlmagro",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarJaviera",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarLaSilla",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarLasTerrazas",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarLlanodeLlampos",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarLomaLosColorados",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarSanAndres",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarElRomero",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SolarElBoco",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_TiltilSolar",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ElPicurio",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_ANDESSOLAR",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_CERRODOMINADOR",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FVBOLERO",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_LOSPUQUIOS",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_MARIAELENAFV",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_FINISTERRAE",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PAMPACAMARONES",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SOLARELaGUILAI",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SOLARJAMA",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SPSLAHUAYCAII",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_URIBESOLAR",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Alcones",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_Granja_Solar",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_MesetadelosAndes",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_PuntadelViento",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_SantaIsabelEtapaI_FaseI",1970-01-01-00:00,2050-01-01-00:00,true,0
"Profile_UTFFSFMVitacura",1970-01-01-00:00,2050-01-01-00:00,true,0
