stage,block,label,start_time,end_time,duration_h
1,1,B01,2025-01-02 00:00:00,2025-01-02 02:00:00,2.0
1,2,B02,2025-01-02 02:00:00,2025-01-02 04:00:00,2.0
1,3,B03,2025-01-02 04:00:00,2025-01-02 06:00:00,2.0
1,4,B04,2025-01-02 06:00:00,2025-01-02 08:00:00,2.0
1,5,B05,2025-01-02 08:00:00,2025-01-02 10:00:00,2.0
1,6,B06,2025-01-02 10:00:00,2025-01-02 12:00:00,2.0
1,7,B07,2025-01-02 12:00:00,2025-01-02 14:00:00,2.0
1,8,B08,2025-01-02 14:00:00,2025-01-02 16:00:00,2.0
1,9,B09,2025-01-02 16:00:00,2025-01-02 18:00:00,2.0
1,10,B10,2025-01-02 18:00:00,2025-01-02 20:00:00,2.0
1,11,B11,2025-01-02 20:00:00,2025-01-02 22:00:00,2.0
1,12,B12,2025-01-02 22:00:00,2025-01-03 00:00:00,2.0
1,13,B13,2025-01-01 00:00:00,2025-01-01 02:00:00,2.0
1,14,B14,2025-01-01 02:00:00,2025-01-01 04:00:00,2.0
1,15,B15,2025-01-01 04:00:00,2025-01-01 06:00:00,2.0
1,16,B16,2025-01-01 06:00:00,2025-01-01 08:00:00,2.0
1,17,B17,2025-01-01 08:00:00,2025-01-01 10:00:00,2.0
1,18,B18,2025-01-01 10:00:00,2025-01-01 12:00:00,2.0
1,19,B19,2025-01-01 12:00:00,2025-01-01 14:00:00,2.0
1,20,B20,2025-01-01 14:00:00,2025-01-01 16:00:00,2.0
1,21,B21,2025-01-01 16:00:00,2025-01-01 18:00:00,2.0
1,22,B22,2025-01-01 18:00:00,2025-01-01 20:00:00,2.0
1,23,B23,2025-01-01 20:00:00,2025-01-01 22:00:00,2.0
1,24,B24,2025-01-01 22:00:00,2025-01-02 00:00:00,2.0
2,1,B01,2025-02-01 00:00:00,2025-02-01 02:00:00,2.0
2,2,B02,2025-02-01 02:00:00,2025-02-01 04:00:00,2.0
2,3,B03,2025-02-01 04:00:00,2025-02-01 06:00:00,2.0
2,4,B04,2025-02-01 06:00:00,2025-02-01 08:00:00,2.0
2,5,B05,2025-02-01 08:00:00,2025-02-01 10:00:00,2.0
2,6,B06,2025-02-01 10:00:00,2025-02-01 12:00:00,2.0
2,7,B07,2025-02-01 12:00:00,2025-02-01 14:00:00,2.0
2,8,B08,2025-02-01 14:00:00,2025-02-01 16:00:00,2.0
2,9,B09,2025-02-01 16:00:00,2025-02-01 18:00:00,2.0
2,10,B10,2025-02-01 18:00:00,2025-02-01 20:00:00,2.0
2,11,B11,2025-02-01 20:00:00,2025-02-01 22:00:00,2.0
2,12,B12,2025-02-01 22:00:00,2025-02-02 00:00:00,2.0
2,13,B13,2025-02-02 00:00:00,2025-02-02 02:00:00,2.0
2,14,B14,2025-02-02 02:00:00,2025-02-02 04:00:00,2.0
2,15,B15,2025-02-02 04:00:00,2025-02-02 06:00:00,2.0
2,16,B16,2025-02-02 06:00:00,2025-02-02 08:00:00,2.0
2,17,B17,2025-02-02 08:00:00,2025-02-02 10:00:00,2.0
2,18,B18,2025-02-02 10:00:00,2025-02-02 12:00:00,2.0
2,19,B19,2025-02-02 12:00:00,2025-02-02 14:00:00,2.0
2,20,B20,2025-02-02 14:00:00,2025-02-02 16:00:00,2.0
2,21,B21,2025-02-02 16:00:00,2025-02-02 18:00:00,2.0
2,22,B22,2025-02-02 18:00:00,2025-02-02 20:00:00,2.0
2,23,B23,2025-02-02 20:00:00,2025-02-02 22:00:00,2.0
2,24,B24,2025-02-02 22:00:00,2025-02-03 00:00:00,2.0
3,1,B01,2025-03-01 00:00:00,2025-03-01 02:00:00,2.0
3,2,B02,2025-03-01 02:00:00,2025-03-01 04:00:00,2.0
3,3,B03,2025-03-01 04:00:00,2025-03-01 06:00:00,2.0
3,4,B04,2025-03-01 06:00:00,2025-03-01 08:00:00,2.0
3,5,B05,2025-03-01 08:00:00,2025-03-01 10:00:00,2.0
3,6,B06,2025-03-01 10:00:00,2025-03-01 12:00:00,2.0
3,7,B07,2025-03-01 12:00:00,2025-03-01 14:00:00,2.0
3,8,B08,2025-03-01 14:00:00,2025-03-01 16:00:00,2.0
3,9,B09,2025-03-01 16:00:00,2025-03-01 18:00:00,2.0
3,10,B10,2025-03-01 18:00:00,2025-03-01 20:00:00,2.0
3,11,B11,2025-03-01 20:00:00,2025-03-01 22:00:00,2.0
3,12,B12,2025-03-01 22:00:00,2025-03-02 00:00:00,2.0
3,13,B13,2025-03-02 00:00:00,2025-03-02 02:00:00,2.0
3,14,B14,2025-03-02 02:00:00,2025-03-02 04:00:00,2.0
3,15,B15,2025-03-02 04:00:00,2025-03-02 06:00:00,2.0
3,16,B16,2025-03-02 06:00:00,2025-03-02 08:00:00,2.0
3,17,B17,2025-03-02 08:00:00,2025-03-02 10:00:00,2.0
3,18,B18,2025-03-02 10:00:00,2025-03-02 12:00:00,2.0
3,19,B19,2025-03-02 12:00:00,2025-03-02 14:00:00,2.0
3,20,B20,2025-03-02 14:00:00,2025-03-02 16:00:00,2.0
3,21,B21,2025-03-02 16:00:00,2025-03-02 18:00:00,2.0
3,22,B22,2025-03-02 18:00:00,2025-03-02 20:00:00,2.0
3,23,B23,2025-03-02 20:00:00,2025-03-02 22:00:00,2.0
3,24,B24,2025-03-02 22:00:00,2025-03-03 00:00:00,2.0
4,1,B01,2025-04-01 00:00:00,2025-04-01 02:00:00,2.0
4,2,B02,2025-04-01 02:00:00,2025-04-01 04:00:00,2.0
4,3,B03,2025-04-01 04:00:00,2025-04-01 06:00:00,2.0
4,4,B04,2025-04-01 06:00:00,2025-04-01 08:00:00,2.0
4,5,B05,2025-04-01 08:00:00,2025-04-01 10:00:00,2.0
4,6,B06,2025-04-01 10:00:00,2025-04-01 12:00:00,2.0
