stage,block,start_time,end_time,duration_h
1,1,2025-01-02 00:00:00,2025-01-02 02:00:00,2.0
1,2,2025-01-02 02:00:00,2025-01-02 04:00:00,2.0
1,3,2025-01-02 04:00:00,2025-01-02 06:00:00,2.0
1,4,2025-01-02 06:00:00,2025-01-02 08:00:00,2.0
1,5,2025-01-02 08:00:00,2025-01-02 10:00:00,2.0
1,6,2025-01-02 10:00:00,2025-01-02 12:00:00,2.0
1,7,2025-01-02 12:00:00,2025-01-02 14:00:00,2.0
1,8,2025-01-02 14:00:00,2025-01-02 16:00:00,2.0
1,9,2025-01-02 16:00:00,2025-01-02 18:00:00,2.0
1,10,2025-01-02 18:00:00,2025-01-02 20:00:00,2.0
1,11,2025-01-02 20:00:00,2025-01-02 22:00:00,2.0
1,12,2025-01-02 22:00:00,2025-01-03 00:00:00,2.0
1,13,2025-01-01 00:00:00,2025-01-01 02:00:00,2.0
1,14,2025-01-01 02:00:00,2025-01-01 04:00:00,2.0
1,15,2025-01-01 04:00:00,2025-01-01 06:00:00,2.0
1,16,2025-01-01 06:00:00,2025-01-01 08:00:00,2.0
1,17,2025-01-01 08:00:00,2025-01-01 10:00:00,2.0
1,18,2025-01-01 10:00:00,2025-01-01 12:00:00,2.0
1,19,2025-01-01 12:00:00,2025-01-01 14:00:00,2.0
1,20,2025-01-01 14:00:00,2025-01-01 16:00:00,2.0
1,21,2025-01-01 16:00:00,2025-01-01 18:00:00,2.0
1,22,2025-01-01 18:00:00,2025-01-01 20:00:00,2.0
1,23,2025-01-01 20:00:00,2025-01-01 22:00:00,2.0
1,24,2025-01-01 22:00:00,2025-01-02 00:00:00,2.0
2,1,2025-02-01 00:00:00,2025-02-01 02:00:00,2.0
2,2,2025-02-01 02:00:00,2025-02-01 04:00:00,2.0
2,3,2025-02-01 04:00:00,2025-02-01 06:00:00,2.0
2,4,2025-02-01 06:00:00,2025-02-01 08:00:00,2.0
2,5,2025-02-01 08:00:00,2025-02-01 10:00:00,2.0
2,6,2025-02-01 10:00:00,2025-02-01 12:00:00,2.0
2,7,2025-02-01 12:00:00,2025-02-01 14:00:00,2.0
2,8,2025-02-01 14:00:00,2025-02-01 16:00:00,2.0
2,9,2025-02-01 16:00:00,2025-02-01 18:00:00,2.0
2,10,2025-02-01 18:00:00,2025-02-01 20:00:00,2.0
2,11,2025-02-01 20:00:00,2025-02-01 22:00:00,2.0
2,12,2025-02-01 22:00:00,2025-02-02 00:00:00,2.0
2,13,2025-02-02 00:00:00,2025-02-02 02:00:00,2.0
2,14,2025-02-02 02:00:00,2025-02-02 04:00:00,2.0
2,15,2025-02-02 04:00:00,2025-02-02 06:00:00,2.0
2,16,2025-02-02 06:00:00,2025-02-02 08:00:00,2.0
2,17,2025-02-02 08:00:00,2025-02-02 10:00:00,2.0
2,18,2025-02-02 10:00:00,2025-02-02 12:00:00,2.0
2,19,2025-02-02 12:00:00,2025-02-02 14:00:00,2.0
2,20,2025-02-02 14:00:00,2025-02-02 16:00:00,2.0
2,21,2025-02-02 16:00:00,2025-02-02 18:00:00,2.0
2,22,2025-02-02 18:00:00,2025-02-02 20:00:00,2.0
2,23,2025-02-02 20:00:00,2025-02-02 22:00:00,2.0
2,24,2025-02-02 22:00:00,2025-02-03 00:00:00,2.0
3,1,2025-03-01 00:00:00,2025-03-01 02:00:00,2.0
3,2,2025-03-01 02:00:00,2025-03-01 04:00:00,2.0
3,3,2025-03-01 04:00:00,2025-03-01 06:00:00,2.0
3,4,2025-03-01 06:00:00,2025-03-01 08:00:00,2.0
3,5,2025-03-01 08:00:00,2025-03-01 10:00:00,2.0
3,6,2025-03-01 10:00:00,2025-03-01 12:00:00,2.0
3,7,2025-03-01 12:00:00,2025-03-01 14:00:00,2.0
3,8,2025-03-01 14:00:00,2025-03-01 16:00:00,2.0
3,9,2025-03-01 16:00:00,2025-03-01 18:00:00,2.0
3,10,2025-03-01 18:00:00,2025-03-01 20:00:00,2.0
3,11,2025-03-01 20:00:00,2025-03-01 22:00:00,2.0
3,12,2025-03-01 22:00:00,2025-03-02 00:00:00,2.0
3,13,2025-03-02 00:00:00,2025-03-02 02:00:00,2.0
3,14,2025-03-02 02:00:00,2025-03-02 04:00:00,2.0
3,15,2025-03-02 04:00:00,2025-03-02 06:00:00,2.0
3,16,2025-03-02 06:00:00,2025-03-02 08:00:00,2.0
3,17,2025-03-02 08:00:00,2025-03-02 10:00:00,2.0
3,18,2025-03-02 10:00:00,2025-03-02 12:00:00,2.0
3,19,2025-03-02 12:00:00,2025-03-02 14:00:00,2.0
3,20,2025-03-02 14:00:00,2025-03-02 16:00:00,2.0
3,21,2025-03-02 16:00:00,2025-03-02 18:00:00,2.0
3,22,2025-03-02 18:00:00,2025-03-02 20:00:00,2.0
3,23,2025-03-02 20:00:00,2025-03-02 22:00:00,2.0
3,24,2025-03-02 22:00:00,2025-03-03 00:00:00,2.0
4,1,2025-04-01 00:00:00,2025-04-01 02:00:00,2.0
4,2,2025-04-01 02:00:00,2025-04-01 04:00:00,2.0
4,3,2025-04-01 04:00:00,2025-04-01 06:00:00,2.0
4,4,2025-04-01 06:00:00,2025-04-01 08:00:00,2.0
4,5,2025-04-01 08:00:00,2025-04-01 10:00:00,2.0
4,6,2025-04-01 10:00:00,2025-04-01 12:00:00,2.0
4,7,2025-04-01 12:00:00,2025-04-01 14:00:00,2.0
4,8,2025-04-01 14:00:00,2025-04-01 16:00:00,2.0
4,9,2025-04-01 16:00:00,2025-04-01 18:00:00,2.0
4,10,2025-04-01 18:00:00,2025-04-01 20:00:00,2.0
4,11,2025-04-01 20:00:00,2025-04-01 22:00:00,2.0
4,12,2025-04-01 22:00:00,2025-04-02 00:00:00,2.0
4,13,2025-04-06 00:00:00,2025-04-06 02:00:00,2.0
