name,busbar,pmax_dis,pmax_ch,pmin_dis,pmin_ch,vomc,auxserv,e_ini,e_max,e_min,eff_c,eff_d,cycle_neutral
LA_CABA�A_ETAPA_2_BESS,NuevaPuertoMontt500,32.0,32.0,0.0,0.0,0.0,0.0,32.0,64.0,0.0,0.9,0.9,True
SOCOMPA_FV_BESS,NuevaZaldivar220,250.0,250.0,0.0,0.0,0.0,0.0,160.0,1000.0,0.0,0.9,0.9,True
ARBOLEDA_FV_BESS,AltoJahuel500,80.0,80.0,0.0,0.0,0.0,0.0,50.0,160.0,0.0,0.9,0.9,True
DIEGO_DE_ALMAGRO_SUR_FV_BESS,NuevaCardones500,8.0,8.0,0.0,0.0,0.0,0.0,16.0,32.0,0.0,0.9,0.9,True
ANDES_IIB_FV_BESS,NuevaZaldivar220,112.0,112.0,0.0,0.0,0.0,0.0,280.0,560.0,0.0,0.9,0.9,True
SAN_MARCOS_FV_BESS,Parinacota220,2.9,2.9,0.0,0.0,0.0,0.0,1.15,2.299999999,0.0,0.9,0.9,True
ANDES_IV_FV_BESS,NuevaZaldivar220,130.0,130.0,0.0,0.0,0.0,0.0,325.0,650.0,0.0,0.9,0.9,True
ANDES_SOLAR_IIB_AMP_FV_BESS,NuevaZaldivar220,17.0,17.0,0.0,0.0,0.0,0.0,42.5,85.0,0.0,0.9,0.9,True
URIBE_SOLAR_BESS,Kimal220,2.5,2.5,0.0,0.0,0.0,0.0,2.3,4.6,0.0,0.9,0.9,True
ZALDIVAR_BESS,Kimal220,35.0,35.0,0.0,0.0,0.0,0.0,70.0,140.0,0.0,0.9,0.9,True
COYA_BESS,Kimal220,139.0,139.0,0.0,0.0,0.0,0.0,319.0,638.0000001,0.0,0.9,0.9,True
SAN_ANDRES_FV_BESS,NuevaCardones500,35.0,35.0,0.0,0.0,0.0,0.0,87.5,175.0,0.0,0.9,0.9,True
Alfalfal_VR1_DAM,AltoJahuel500,10.0,10.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.9,0.9,True
Alfalfal_VR2_DAM,AltoJahuel500,49.25,49.25,0.0,0.0,0.0,0.0,98.5,197.0,0.0,0.9,0.9,True
EL MANZANO_BESS,Polpaico500,60.0,60.0,0.0,0.0,0.0,0.0,60.0,120.0,0.0,0.9,0.9,True
DON HUMBERTO_BESS,Polpaico500,60.0,60.0,0.0,0.0,0.0,0.0,60.0,120.0,0.0,0.9,0.9,True
ANDES IIA_BESS,NuevaZaldivar220,80.0,80.0,0.0,0.0,0.0,0.0,134.4,268.8,0.0,0.9,0.9,True
ALICANTO_BESS,NuevaCardones500,1.2,1.2,0.0,0.0,0.0,0.0,4.8,9.6,0.0,0.9,0.9,True
TAMAYA_BESS,Kimal220,68.2,68.2,0.0,0.0,0.0,0.0,210.0,420.0,0.0,0.9,0.9,True
CENTRAL DESIERTO DE ATACAMA_BESS,NuevaCardones500,110.0,110.0,0.0,0.0,0.0,0.0,110.0,220.0,0.0,0.9,0.9,True
ANDES III_E1_BESS,NuevaZaldivar220,171.3,171.3,0.0,0.0,0.0,0.0,256.95,513.9,0.0,0.9,0.9,True
SALVADOR_PV_BESS,NuevaCardones500,50.0,50.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.9,0.9,True
GENERACION SOLAR_BESS,Kimal220,60.5,60.5,0.0,0.0,0.0,0.0,60.5,121.0,0.0,0.9,0.9,True
CAPRICORNIO_BESS,LosChangos220,48.0,48.0,0.0,0.0,0.0,0.0,132.096,264.192,0.0,0.9,0.9,True
QUILLAGUA 95_BESS,Lagunas220,95.0,95.0,0.0,0.0,0.0,0.0,237.5,589.0,0.0,0.9,0.9,True
PILOTO_BESS,NuevaPandeAzucar500,3.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.9,0.9,True
AMP_LA_CABA�A_BESS,NuevaPuertoMontt500,33.0,33.0,0.0,0.0,0.0,0.0,32.7855,65.571,0.0,0.9,0.9,True
PFV_GABRIELA_BESS,NuevaZaldivar220,220.0,220.0,0.0,0.0,0.0,0.0,550.0,1100.0,0.0,0.9,0.9,True
DEL_DESIERTO_BESS,Kimal220,200.0,200.0,0.0,0.0,0.0,0.0,400.0,800.0,0.0,0.9,0.9,True
PFV VICTOR JARA_BESS,NuevaPozoAlmonte220,200.0,200.0,0.0,0.0,0.0,0.0,650.0,1300.0,0.0,0.9,0.9,True
QUILLAGUA II_BESS,Lagunas220,105.0,105.0,0.0,0.0,0.0,0.0,325.5,651.0,0.0,0.9,0.9,True
PS DOS PINOS_BESS,NuevaPandeAzucar500,3.0,3.0,0.0,0.0,0.0,0.0,6.0,12.0,0.0,0.9,0.9,True
TOCOPILLA_BESS,Kimal220,116.0,116.0,0.0,0.0,0.0,0.0,290.0,580.0,0.0,0.9,0.9,True
