key,value
LA_CABA�A_ETAPA_2_BESS,"ESSUnit(name='LA_CABA�A_ETAPA_2_BESS', busbar='NuevaPuertoMontt500', pmax_dis=32.0, pmax_ch=32.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=32.0, e_max=64.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
SOCOMPA_FV_BESS,"ESSUnit(name='SOCOMPA_FV_BESS', busbar='NuevaZaldivar220', pmax_dis=250.0, pmax_ch=250.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=160.0, e_max=1000.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
ARBOLEDA_FV_BESS,"ESSUnit(name='ARBOLEDA_FV_BESS', busbar='AltoJahuel500', pmax_dis=80.0, pmax_ch=80.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=50.0, e_max=160.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
DIEGO_DE_ALMAGRO_SUR_FV_BESS,"ESSUnit(name='DIEGO_DE_ALMAGRO_SUR_FV_BESS', busbar='NuevaCardones500', pmax_dis=8.0, pmax_ch=8.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=16.0, e_max=32.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
ANDES_IIB_FV_BESS,"ESSUnit(name='ANDES_IIB_FV_BESS', busbar='NuevaZaldivar220', pmax_dis=112.0, pmax_ch=112.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=280.0, e_max=560.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
SAN_MARCOS_FV_BESS,"ESSUnit(name='SAN_MARCOS_FV_BESS', busbar='Parinacota220', pmax_dis=2.9, pmax_ch=2.9, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=1.15, e_max=2.299999999, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
ANDES_IV_FV_BESS,"ESSUnit(name='ANDES_IV_FV_BESS', busbar='NuevaZaldivar220', pmax_dis=130.0, pmax_ch=130.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=325.0, e_max=650.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
ANDES_SOLAR_IIB_AMP_FV_BESS,"ESSUnit(name='ANDES_SOLAR_IIB_AMP_FV_BESS', busbar='NuevaZaldivar220', pmax_dis=17.0, pmax_ch=17.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=42.5, e_max=85.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
URIBE_SOLAR_BESS,"ESSUnit(name='URIBE_SOLAR_BESS', busbar='Kimal220', pmax_dis=2.5, pmax_ch=2.5, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=2.3, e_max=4.6, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
ZALDIVAR_BESS,"ESSUnit(name='ZALDIVAR_BESS', busbar='Kimal220', pmax_dis=35.0, pmax_ch=35.0, pmin_dis=0.0, pmin_ch=0.0, vomc=0.0, auxserv=0.0, e_ini=70.0, e_max=140.0, e_min=0.0, eff_c=0.9, eff_d=0.9, cycle_neutral=True)"
