name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
ALCONES_FV,Polpaico500,Profile_Alcones,90.0,0.0,0.0,0.0,False
ALMEYDA_FV,Cumbre500,Profile_PVSalvador,52.0,0.0,0.0,0.0,False
ANDES III ETAPA I_FV,NuevaZaldivar220,Profile_ANDESSOLAR,175.9,0.0,0.0,0.0,False
ANDES_IIB_FV,NuevaZaldivar220,Profile_PV_NuevaZaldivar220,112.0,0.0,0.0,0.0,False
ANDES_IV_FV,NuevaZaldivar220,Profile_ANDESSOLAR,130.0,0.0,0.0,0.0,False
ANDES_SOLAR_FV,NuevaZaldivar220,Profile_ANDESSOLAR,21.42,0.0,0.0,0.0,False
ANDES_SOLAR_IIA_ETAPA2_FV,NuevaZaldivar220,Profile_ANDESSOLAR,9.7,0.0,0.0,0.0,False
ANDES_SOLAR_IIA_FV,NuevaZaldivar220,Profile_FV_Kimal03,86.3,0.0,0.0,0.0,False
ANDES_SOLAR_IIB_AMP_FV,NuevaZaldivar220,Profile_ANDESSOLAR,17.0,0.0,0.0,0.0,False
ANDINO_OCCIDENTE_FV,Rapel500,Profile_PV_AltoJahuel500,147.0,0.0,0.0,0.0,False
ARBOLEDA_FV,AltoJahuel500,Profile_ElPicurio,80.0,0.0,0.0,0.0,False
ATACAMA_SOLAR_II_FV,Lagunas220,Profile_FV_Kimal03,150.0,0.0,0.0,0.0,False
AURORA_SOLAR_FV,Lagunas220,Profile_Granja_Solar,187.0,0.0,0.0,0.0,False
AZABACHE_FV,NuevaZaldivar220,Profile_FV_Kimal03,59.8,0.0,0.0,0.0,False
Aguas Negras 14.5 I,Ancoa500,Profile_Cordillerilla,7.209164792,0.0,0.0,0.0,False
Alameda 015 I,AltoJahuel500,Profile_ElPicurio,20.45844063,0.0,0.0,0.0,False
Alcones 023 I,Polpaico500,Profile_Cintac,20.45844063,0.0,0.0,0.0,False
Algarrobo Chilquinta 066 I,Quillota500,Profile_ElDivisadero,23.86818073,0.0,0.0,0.0,False
Alhue 023 I,AltoJahuel500,Profile_ElPicurio,20.45844063,0.0,0.0,0.0,False
Alhue 023 II,AltoJahuel500,Profile_ElPicurio,23.28365386,0.0,0.0,0.0,False
Alhue 023 III,AltoJahuel500,Profile_ElPicurio,26.20628823,0.0,0.0,0.0,False
Alonso de Cordova 012 I,Polpaico500,Profile_Cintac,0.097421146,0.0,0.0,0.0,False
Alto Hospicio 13.8 I,NuevaPozoAlmonte220,Profile_LOSPUQUIOS,8.767903126,0.0,0.0,0.0,False
Alto del Carmen 13.8 I,NuevaMaitencillo500,Profile_ElPelicano,2.922634375,0.0,0.0,0.0,False
Andacollo 023 I,NuevaPandeAzucar500,Profile_SDGx01,1.217764323,0.0,0.0,0.0,False
Andes 220 I,NuevaZaldivar220,Profile_PV_NuevaZaldivar220,25.91402479,0.0,0.0,0.0,False
Angol 023 I,Concepcion500,Profile_ElPitio,2.825213229,0.0,0.0,0.0,False
Angol 13.2 I,Concepcion500,Profile_ElPitio,2.825213229,0.0,0.0,0.0,False
BOLERO_FV,Kimal220,Profile_FVBOLERO,146.0,0.0,0.0,0.0,False
Batuco 023 I,Polpaico500,Profile_PV_Polpaico500,37.99424688,0.0,0.0,0.0,False
Batuco 023 II,Polpaico500,Profile_PV_Polpaico500,46.76215,0.0,0.0,0.0,False
Bollenar 13.2 I,Polpaico500,Profile_PV_Polpaico500,27.95986886,0.0,0.0,0.0,False
Bollenar 13.2 II,AltoJahuel500,Profile_PV_AltoJahuel500,33.61029531,0.0,0.0,0.0,False
Buin CGE A 015 I,AltoJahuel500,Profile_ElPicurio,17.53580625,0.0,0.0,0.0,False
Buin CGE B 015 I,AltoJahuel500,Profile_PV_AltoJahuel500,8.767903126,0.0,0.0,0.0,False
CAMPOS_DEL_SOL_FV,Cumbre500,Profile_LuzdelNorte,381.0,0.0,0.0,0.0,False
CAMPOS_DEL_SOL_II_FV,Cumbre500,Profile_PV_Cumbre500,369.6,0.0,0.0,0.0,False
CANQUINA_FV,NuevaPozoAlmonte220,Profile_FV_PozoAlmonte01,80.0,0.0,0.0,0.0,False
CAPRICORNIO_FV,Kimal220,Profile_FV_Kimal03,87.9,0.0,0.0,0.0,False
CARDONES_FV,NuevaCardones500,Profile_FV_Kimal03,35.0,0.0,0.0,0.0,False
CARRERA_PINTO_FV,Cumbre500,Profile_CarreraPinto,93.0,0.0,0.0,0.0,False
CEME1_FV,Kimal220,Profile_PV_Kimal220,380.0,0.0,0.0,0.0,False
CERRO_DOMINADOR_FV,Kimal220,Profile_CERRODOMINADOR,100.0,0.0,0.0,0.0,False
CHANARES_FV,Cumbre500,Profile_CarreraPinto,34.94,0.0,0.0,0.0,False
CONEJO_I_FV,Cumbre500,Profile_ConejoSolar,104.0,0.0,0.0,0.0,False
COYA_FV,Kimal220,Profile_PV_Kimal220,180.0,0.0,0.0,0.0,False
Cabildo 023 I,Quillota500,Profile_PV_Quillota500,52.12031302,0.0,0.0,0.0,False
Cabildo 023 II,Quillota500,Profile_PV_Quillota500,54.94552625,0.0,0.0,0.0,False
Cabrero 023 I,Concepcion500,Profile_PV_Concepcion500,20.06875604,0.0,0.0,0.0,False
Cabrero 023 II,Concepcion500,Profile_PV_Concepcion500,28.83665917,0.0,0.0,0.0,False
Cabrero 13.8 I,Concepcion500,Profile_ElPitio,8.767903126,0.0,0.0,0.0,False
Cachapoal 015 I,AltoJahuel500,Profile_ElPicurio,8.767903126,0.0,0.0,0.0,False
Cachapoal 015 II,AltoJahuel500,Profile_ElPicurio,16.75643708,0.0,0.0,0.0,False
Cachapoal 015 III,AltoJahuel500,Profile_ElPicurio,25.52434021,0.0,0.0,0.0,False
Cachapoal 015 IV,AltoJahuel500,Profile_ElPicurio,34.29224334,0.0,0.0,0.0,False
Calama 023 I,NuevaZaldivar220,Profile_PV_NuevaZaldivar220,52.60741875,0.0,0.0,0.0,False
Calama 023 II,NuevaZaldivar220,Profile_PV_NuevaZaldivar220,55.53005313,0.0,0.0,0.0,False
Calama 023 III,NuevaZaldivar220,Profile_PV_NuevaZaldivar220,64.29795625,0.0,0.0,0.0,False
Caldera 023 I,NuevaCardones500,Profile_PampaSolarNorte,17.53580625,0.0,0.0,0.0,False
Capricornio 110 I,Kimal220,Profile_CERRODOMINADOR,8.767903126,0.0,0.0,0.0,False
Cardones 220 I,NuevaCardones500,Profile_PV_NuevaCardones500,9.196556167,0.0,0.0,0.0,False
Casablanca 012 I,Quillota500,Profile_PV_Quillota500,11.6905375,0.0,0.0,0.0,False
Casablanca 012 II,Quillota500,Profile_PV_Quillota500,17.53580625,0.0,0.0,0.0,False
Casas Viejas 13.2 I,Quillota500,Profile_ElDivisadero,8.767903126,0.0,0.0,0.0,False
Castilla 023 I,NuevaCardones500,Profile_PampaSolarNorte,2.727792084,0.0,0.0,0.0,False
Catemu 012 I,Quillota500,Profile_PV_Quillota500,25.42691906,0.0,0.0,0.0,False
Cauquenes 13.2 I,Ancoa500,Profile_Cordillerilla,35.0716125,0.0,0.0,0.0,False
Cauquenes 13.2 II,Ancoa500,Profile_Cordillerilla,37.99424688,0.0,0.0,0.0,False
Cerrillos 023 I,NuevaCardones500,Profile_PampaSolarNorte,31.16502455,0.0,0.0,0.0,False
Cerrillos 023 II,NuevaCardones500,Profile_PampaSolarNorte,34.08765893,0.0,0.0,0.0,False
Cerrillos 023 III,AltoJahuel500,Profile_PV_AltoJahuel500,37.0102933,0.0,0.0,0.0,False
Chaca 023 I,Lagunas220,Profile_SOLARELaGUILAI,5.991400469,0.0,0.0,0.0,False
Chacabuco 012 I,Polpaico500,Profile_Cintac,0.292263438,0.0,0.0,0.0,False
Chacahuin 13.2 I,Ancoa500,Profile_PV_Ancoa500,45.39825396,0.0,0.0,0.0,False
Chacahuin 13.2 II,Ancoa500,Profile_PV_Ancoa500,48.22346719,0.0,0.0,0.0,False
Chicureo 023 I,Polpaico500,Profile_Cintac,8.767903126,0.0,0.0,0.0,False
Chillan 015 I,Concepcion500,Profile_ElPitio,28.05729,0.0,0.0,0.0,False
Chillan 13.2 I,Concepcion500,Profile_ElPitio,14.61317188,0.0,0.0,0.0,False
Chillan 13.2 II,Concepcion500,Profile_ElPitio,19.67907146,0.0,0.0,0.0,False
Chimbarongo 015 I,AltoJahuel500,Profile_PV_AltoJahuel500,21.91975781,0.0,0.0,0.0,False
Chocalan 13.2 I,AltoJahuel500,Profile_ElPicurio,8.767903126,0.0,0.0,0.0,False
Cholguan 066 I,Concepcion500,Profile_ElPitio,6.624637917,0.0,0.0,0.0,False
Cholguan 13.2 I,NuevaPandeAzucar500,Profile_PV_NuevaPandeAzucar500,10.91116833,0.0,0.0,0.0,False
Cholguan STS 023 I,Concepcion500,Profile_ElPitio,13.63896042,0.0,0.0,0.0,False
Cholguan STS 023 II,Concepcion500,Profile_ElPitio,22.40686354,0.0,0.0,0.0,False
Cholguan STS 13.8 I,Concepcion500,Profile_ElPitio,26.30370938,0.0,0.0,0.0,False
Cholguan STS 13.8 II,Concepcion500,Profile_ElPitio,35.0716125,0.0,0.0,0.0,False
Cholguan STS 13.8 III,Concepcion500,Profile_ElPitio,43.83951563,0.0,0.0,0.0,False
Chumaquito 015 I,AltoJahuel500,Profile_ElPicurio,24.35528646,0.0,0.0,0.0,False
Cocharcas 015 I,Concepcion500,Profile_ElPitio,8.280797396,0.0,0.0,0.0,False
Cocharcas 13.8 I,Concepcion500,Profile_PV_Concepcion500,13.93122386,0.0,0.0,0.0,False
Colbun 13.8 I,AltoJahuel500,Profile_PV_AltoJahuel500,17.53580625,0.0,0.0,0.0,False
Colchagua 015 I,AltoJahuel500,Profile_ElPicurio,17.04870052,0.0,0.0,0.0,False
Colchagua 015 II,NuevaPandeAzucar500,Profile_PV_NuevaPandeAzucar500,25.81660365,0.0,0.0,0.0,False
Combarbala 110 I,NuevaPandeAzucar500,Profile_SDGx01,3.702003542,0.0,0.0,0.0,False
Combarbala 13.2 I,Quillota500,Profile_PV_Quillota500,9.722630355,0.0,0.0,0.0,False
Con Con 012 I,Quillota500,Profile_ElDivisadero,8.865324271,0.0,0.0,0.0,False
Con Con 012 II,Quillota500,Profile_ElDivisadero,17.6332274,0.0,0.0,0.0,False
Constitucion 023 I,Ancoa500,Profile_Cordillerilla,8.767903126,0.0,0.0,0.0,False
Constitucion 023 II,Ancoa500,Profile_Cordillerilla,17.53580625,0.0,0.0,0.0,False
Copiapo 13.8 I,NuevaCardones500,Profile_PampaSolarNorte,17.53580625,0.0,0.0,0.0,False
Copiapo 13.8 II,NuevaCardones500,Profile_PampaSolarNorte,26.30370938,0.0,0.0,0.0,False
Cristalerias Chile 110 I,Quillota500,Profile_ElDivisadero,8.767903126,0.0,0.0,0.0,False
Curacavi 012 I,Polpaico500,Profile_PV_Polpaico500,11.98280094,0.0,0.0,0.0,False
Curacavi 012 II,Polpaico500,Profile_PV_Polpaico500,17.82806969,0.0,0.0,0.0,False
Curico 13.2 A I,AltoJahuel500,Profile_ElPicurio,30.29797636,0.0,0.0,0.0,False
Curico 13.2 A II,AltoJahuel500,Profile_ElPicurio,39.06587948,0.0,0.0,0.0,False
Curico 13.2 B I,Ancoa500,Profile_Cordillerilla,40.65384416,0.0,0.0,0.0,False
DESIERTO DE ATACAMA_FV,NuevaMaitencillo500,Profile_PFV_Sol_de_Vallenar,270.0,0.0,0.0,0.0,False
DIEGO_DE_ALMAGRO_FV,Cumbre500,Profile_SolarDiegodeAlmagro,32.0,0.0,0.0,0.0,False
DIEGO_DE_ALMAGRO_SUR_FV,Cumbre500,Profile_PV_Cumbre500,208.0,0.0,0.0,0.0,False
DOMEYKO_FV,Kimal220,Profile_PV_Kimal220,186.2,0.0,0.0,0.0,False
DON HUMBERTO_FV,Polpaico500,Profile_Cintac,73.0,0.0,0.0,0.0,False
DONA_CARMEN_FV,Quillota500,Profile_ElDivisadero,40.0,0.0,0.0,0.0,False
DON_CARLOS_FV,NuevaMaitencillo500,Profile_PV_NuevaMaitencillo500,196.0,0.0,0.0,0.0,False
DO�A_ANTONIA_FV,NuevaPandeAzucar500,Profile_SDGx01,75.0,0.0,0.0,0.0,False
