name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate,kind
ALENA_EO,Concepcion500,Profile_Alena,84.0,0.0,0.0,0.0,False,wind
AURORA_EO,NuevaPuertoMontt500,Profile_Aurora,126.0,0.0,0.0,0.0,False,wind
CABO_LEONES_I_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,116.0,0.0,0.0,0.0,False,wind
CABO_LEONES_II_FASE_I_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,34.0,0.0,0.0,0.0,False,wind
CAMAN_ETAPA_I_EO,Pichirropulli500,Profile_Caman,146.0,0.0,0.0,0.0,False,wind
EL_ARREBOL_EO,Concepcion500,Profile_ElArrebol,9.0,0.0,0.0,0.0,False,wind
EL_MAITEN_EO,Concepcion500,Profile_EolicaCuel,9.0,0.0,0.0,0.0,False,wind
EL_NOGAL_EO,Concepcion500,Profile_ElNogal_Eol,9.0,0.0,0.0,0.0,False,wind
CANELA_EO,NuevaPandeAzucar500,Profile_Canela,18.0,0.0,0.0,0.0,False,wind
CANELA_2_EO,NuevaPandeAzucar500,Profile_CanelaII,59.0,0.0,0.0,0.0,False,wind
EL_ARRAYAN_EO,NuevaPandeAzucar500,Profile_Canela,115.0,0.0,0.0,0.0,False,wind
LA_ESPERANZA_EO,Concepcion500,Profile_EolicaCuel,11.0,0.0,0.0,0.0,False,wind
LAS_PENAS_EO,Concepcion500,Profile_EolicaCuel,8.0,0.0,0.0,0.0,False,wind
LEBU_EO,Concepcion500,Profile_EolicaCuel,10.0,0.0,0.0,0.0,False,wind
LEBU_III_EO,Concepcion500,Profile_ElArrebol,5.0,0.0,0.0,0.0,False,wind
PUNTA_COLORADA_EO,NuevaPandeAzucar500,Profile_EolicaPuntaColorada,20.0,0.0,0.0,0.0,False,wind
TOTORAL_EO,NuevaPandeAzucar500,Profile_EolicaTotoral,46.0,0.0,0.0,0.0,False,wind
HUAJACHE_EO,Concepcion500,Profile_Huajache,6.0,0.0,0.0,0.0,False,wind
LA_FLOR_EO,Concepcion500,Profile_LaFlor,32.0,0.0,0.0,0.0,False,wind
LOS_BUENOS_AIRES_EO,Concepcion500,Profile_EolicaLosBuenosAires,24.0,0.0,0.0,0.0,False,wind
LOS_CURUROS_EO,NuevaPandeAzucar500,Profile_EolicaLosCururos,110.0,0.0,0.0,0.0,False,wind
MONTE_REDONDO_EO,NuevaPandeAzucar500,Profile_MonteRedondo,48.0,0.0,0.0,0.0,False,wind
NEGRETE_CUEL_EO,Concepcion500,Profile_EolicaCuel,33.0,0.0,0.0,0.0,False,wind
CABO_LEONES_III_FASE_I_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,78.0,0.0,0.0,0.0,False,wind
LOMAS_DE_DUQUECO_EO,Concepcion500,Profile_EolicaCuel,57.0,0.0,0.0,0.0,False,wind
MALLECO_FASE_I_EO,Mulchen500,Profile_PEol_Malleco,135.0,0.0,0.0,0.0,False,wind
MALLECO_FASE_II_EO,Mulchen500,Profile_PEol_Malleco,138.0,0.0,0.0,0.0,False,wind
NEGRETE_ETAPA_I_EO,Concepcion500,Profile_EolicaCuel,36.0,0.0,0.0,0.0,False,wind
PUNTA_DE_TALCA_EO,NuevaPandeAzucar500,Profile_EolicaTalinayOriente,80.0,0.0,0.0,0.0,False,wind
LA_ESTRELLA_EO,Polpaico500,Profile_LaEstrella,50.0,0.0,0.0,0.0,False,wind
PUELCHE_SUR_EO,NuevaPuertoMontt500,Profile_Puelche_Sur,152.0,0.0,0.0,0.0,False,wind
PUNTA_PALMERA_EO,NuevaPandeAzucar500,Profile_EolicaPuntaPalmeras,45.0,0.0,0.0,0.0,False,wind
PUNTA_SIERRA_EO,NuevaPandeAzucar500,Profile_PUNTASIERRA,80.0,0.0,0.0,0.0,False,wind
RAKI_EO,Concepcion500,Profile_Raki,9.0,0.0,0.0,0.0,False,wind
RENAICO_EO,Concepcion500,Profile_ParqueEolicoRenaico,88.0,0.0,0.0,0.0,False,wind
SAN_GABRIEL_EO,Mulchen500,Profile_San_Gabriel,183.0,0.0,0.0,0.0,False,wind
SAN_JUAN_EO,NuevaPandeAzucar500,Profile_EolicaSanJuan,185.0,0.0,0.0,0.0,False,wind
SAN_PEDRO_EO,NuevaPuertoMontt500,Profile_Aurora,36.0,0.0,0.0,0.0,False,wind
SAN_PEDRO_II_EO,NuevaPuertoMontt500,Profile_Aurora,65.0,0.0,0.0,0.0,False,wind
SAN_RARINCO_EO,Concepcion500,Profile_SanRarinco,99.0,0.0,0.0,0.0,False,wind
SARCO_EO,NuevaMaitencillo500,Profile_Sarco,169.0,0.0,0.0,0.0,False,wind
TALTAL_EO,Cumbre500,Profile_EolicaTaltal,98.0,0.0,0.0,0.0,False,wind
TALTAL_EO_RBC,Parinas500,Profile_Eolica_TalTalEol02,98.0,0.0,0.0,0.0,False,wind
TALINAY_ORIENTE_EO,NuevaPandeAzucar500,Profile_EolicaTalinayOriente,90.0,0.0,0.0,0.0,False,wind
TALINAY_PONIENTE_EO,NuevaPandeAzucar500,Profile_EolicaTalinayPoniente,60.0,0.0,0.0,0.0,False,wind
TOLPAN_SUR_EO,Mulchen500,Profile_San_Gabriel,84.0,0.0,0.0,0.0,False,wind
UCUQUER_I_EO,Polpaico500,Profile_Eol_Polpaico500,7.0,0.0,0.0,0.0,False,wind
UCUQUER_II_EO,Polpaico500,Profile_LaEstrella,11.0,0.0,0.0,0.0,False,wind
MESAMAVIDA_EO,Concepcion500,Profile_EolicaCuel,60.0,0.0,0.0,0.0,False,wind
LOS_OLMOS_EO,Mulchen500,Profile_ElNogal_Eol,100.0,0.0,0.0,0.0,False,wind
RENAICO_II_EO,Concepcion500,Profile_ParqueEolicoRenaico,144.0,0.0,0.0,2000.0,False,wind
CABO_LEONES_I_EXT_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,60.0,0.0,0.0,0.0,False,wind
OCHS_EO,Pichirropulli500,Profile_Eol_Pichirropulli500,3.0,0.0,0.0,0.0,False,wind
CABO_LEONES_III_FASE_II_EO,NuevaMaitencillo500,Profile_Eol_NuevaMaitencillo500,110.0,0.0,0.0,0.0,False,wind
EL_CRUCE_EO,Pichirropulli500,Profile_Eol_Pichirropulli500,3.0,0.0,0.0,0.0,False,wind
CAMPO_LINDO_I_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,63.0,0.0,0.0,0.0,False,wind
CABO_LEONES_II_FASE_II_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,172.0,0.0,0.0,0.0,False,wind
VIENTOS_DEL_LAGO_EO,NuevaPuertoMontt500,Profile_Puelche_Sur,132.0,0.0,0.0,0.0,False,wind
DA�ICALQUI_EO,Concepcion500,Profile_EolicaCuel,95.0,0.0,0.0,0.0,False,wind
SAN_ANDRES_EO,Mulchen500,Profile_PEol_Malleco,120.0,0.0,0.0,0.0,False,wind
COLINAS_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,188.0,0.0,0.0,0.0,False,wind
ATACAMA_EO,NuevaMaitencillo500,Profile_Cabo_Leones_I,165.0,0.0,0.0,0.0,False,wind
CARDONAL_EO,Polpaico500,Profile_LaEstrella,33.0,0.0,0.0,0.0,False,wind
MANANTIALES_EO,Polpaico500,Profile_LaEstrella,27.0,0.0,0.0,0.0,False,wind
CAMPO_LINDO_II_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,4.0,0.0,0.0,0.0,False,wind
LEBU_NORTE_EO,Concepcion500,Profile_EolicaCuel,9.0,0.0,0.0,0.0,False,wind
LA_CABA�A_ETAPA_1_EO,Concepcion500,Profile_ParqueEolicoRenaico,47.0,0.0,0.0,0.0,False,wind
LA_CABA�A_ETAPA_2_EO,Concepcion500,Profile_ParqueEolicoRenaico,57.0,0.0,0.0,0.0,False,wind
SAN_MATIAS_E1_EO,Concepcion500,Profile_EolicaCuel,77.0,0.0,0.0,0.0,False,wind
LONCUALHUE_EO,NuevaCharrua500,Profile_Eol_NuevaCharrua500,187.0,0.0,0.0,0.0,False,wind
HORIZONTE I_EO,Parinas500,Profile_Eolica_TalTalEol02,400.0,0.0,0.0,0.0,False,wind
HORIZONTE II_EO,Parinas500,Profile_Eolica_TalTalEol02,400.0,0.0,0.0,0.0,False,wind
LOMAS_DE_TALTAL_EO,Parinas500,Profile_Eolica_TalTalEol02,342.0,0.0,0.0,0.0,False,wind
ANTOFAGASTA_EO,Parinas500,Profile_Eolica_TalTalEol02,364.0,0.0,0.0,0.0,False,wind
PMGD_CH1_BUTALCURA_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
PMGD_CH2_BUTALCURA_EO,NuevaPuertoMontt500,Profile_Aurora,9.0,0.0,0.0,0.0,False,wind
CERRILLOS_EO,Polpaico500,Profile_LaEstrella,46.0,0.0,0.0,0.0,False,wind
SAN_MATIAS_E2_EO,Concepcion500,Profile_EolicaCuel,4.0,0.0,0.0,0.0,False,wind
CERRO_TIGRE_EO,NuevaZaldivar220,Profile_Cerro_Tigre,185.0,0.0,0.0,0.0,False,wind
CKANI_EO,Kimal220,Profile_Ckani,107.0,0.0,0.0,0.0,False,wind
SIERRA_GORDA_EO,Kimal220,Profile_SIERRAGORDAESTE,112.0,0.0,0.0,0.0,False,wind
