s_id,start_time,end_time,num_blocks,start_ts,end_ts
1,2025-01-01-00:00,2025-02-01-00:00,24,1735700400,1738378800
2,2025-02-01-00:00,2025-03-01-00:00,24,1738378800,1740798000
3,2025-03-01-00:00,2025-04-01-00:00,24,1740798000,1743476400
4,2025-04-01-00:00,2025-05-01-00:00,24,1743476400,1746072000
5,2025-05-01-00:00,2025-06-01-00:00,24,1746072000,1748750400
6,2025-06-01-00:00,2025-07-01-00:00,24,1748750400,1751342400
7,2025-07-01-00:00,2025-08-01-00:00,24,1751342400,1754020800
8,2025-08-01-00:00,2025-09-01-00:00,24,1754020800,1756699200
9,2025-09-01-00:00,2025-10-01-00:00,24,1756699200,1759287600
10,2025-10-01-00:00,2025-11-01-00:00,24,1759287600,1761966000
11,2025-11-01-00:00,2025-12-01-00:00,24,1761966000,1764558000
12,2025-12-01-00:00,2026-01-01-00:00,24,1764558000,1767236400
13,2026-01-01-00:00,2026-02-01-00:00,24,1767236400,1769914800
14,2026-02-01-00:00,2026-03-01-00:00,24,1769914800,1772334000
15,2026-03-01-00:00,2026-04-01-00:00,24,1772334000,1775012400
16,2026-04-01-00:00,2026-05-01-00:00,24,1775012400,1777608000
17,2026-05-01-00:00,2026-06-01-00:00,24,1777608000,1780286400
18,2026-06-01-00:00,2026-07-01-00:00,24,1780286400,1782878400
19,2026-07-01-00:00,2026-08-01-00:00,24,1782878400,1785556800
20,2026-08-01-00:00,2026-09-01-00:00,24,1785556800,1788235200
21,2026-09-01-00:00,2026-10-01-00:00,24,1788235200,1790823600
22,2026-10-01-00:00,2026-11-01-00:00,24,1790823600,1793502000
23,2026-11-01-00:00,2026-12-01-00:00,24,1793502000,1796094000
24,2026-12-01-00:00,2027-01-01-00:00,24,1796094000,1798772400
25,2027-01-01-00:00,2027-02-01-00:00,24,1798772400,1801450800
26,2027-02-01-00:00,2027-03-01-00:00,24,1801450800,1803870000
27,2027-03-01-00:00,2027-04-01-00:00,24,1803870000,1806548400
28,2027-04-01-00:00,2027-05-01-00:00,24,1806548400,1809144000
29,2027-05-01-00:00,2027-06-01-00:00,24,1809144000,1811822400
30,2027-06-01-00:00,2027-07-01-00:00,24,1811822400,1814414400
31,2027-07-01-00:00,2027-08-01-00:00,24,1814414400,1817092800
32,2027-08-01-00:00,2027-09-01-00:00,24,1817092800,1819771200
33,2027-09-01-00:00,2027-10-01-00:00,24,1819771200,1822359600
34,2027-10-01-00:00,2027-11-01-00:00,24,1822359600,1825038000
35,2027-11-01-00:00,2027-12-01-00:00,24,1825038000,1827630000
36,2027-12-01-00:00,2028-01-01-00:00,24,1827630000,1830308400
37,2028-01-01-00:00,2028-02-01-00:00,24,1830308400,1832986800
38,2028-02-01-00:00,2028-03-01-00:00,24,1832986800,1835492400
39,2028-03-01-00:00,2028-04-01-00:00,24,1835492400,1838170800
40,2028-04-01-00:00,2028-05-01-00:00,24,1838170800,1840766400
41,2028-05-01-00:00,2028-06-01-00:00,24,1840766400,1843444800
42,2028-06-01-00:00,2028-07-01-00:00,24,1843444800,1846036800
43,2028-07-01-00:00,2028-08-01-00:00,24,1846036800,1848715200
44,2028-08-01-00:00,2028-09-01-00:00,24,1848715200,1851393600
45,2028-09-01-00:00,2028-10-01-00:00,24,1851393600,1853982000
46,2028-10-01-00:00,2028-11-01-00:00,24,1853982000,1856660400
47,2028-11-01-00:00,2028-12-01-00:00,24,1856660400,1859252400
48,2028-12-01-00:00,2029-01-01-00:00,24,1859252400,1861930800
49,2029-01-01-00:00,2029-02-01-00:00,24,1861930800,1864609200
50,2029-02-01-00:00,2029-03-01-00:00,24,1864609200,1867028400
51,2029-03-01-00:00,2029-04-01-00:00,24,1867028400,1869706800
52,2029-04-01-00:00,2029-05-01-00:00,24,1869706800,1872302400
53,2029-05-01-00:00,2029-06-01-00:00,24,1872302400,1874980800
54,2029-06-01-00:00,2029-07-01-00:00,24,1874980800,1877572800
55,2029-07-01-00:00,2029-08-01-00:00,24,1877572800,1880251200
56,2029-08-01-00:00,2029-09-01-00:00,24,1880251200,1882929600
57,2029-09-01-00:00,2029-10-01-00:00,24,1882929600,1885518000
58,2029-10-01-00:00,2029-11-01-00:00,24,1885518000,1888196400
59,2029-11-01-00:00,2029-12-01-00:00,24,1888196400,1890788400
60,2029-12-01-00:00,2030-01-01-00:00,24,1890788400,1893466800
61,2030-01-01-00:00,2030-02-01-00:00,24,1893466800,1896145200
62,2030-02-01-00:00,2030-03-01-00:00,24,1896145200,1898564400
63,2030-03-01-00:00,2030-04-01-00:00,24,1898564400,1901242800
64,2030-04-01-00:00,2030-05-01-00:00,24,1901242800,1903838400
65,2030-05-01-00:00,2030-06-01-00:00,24,1903838400,1906516800
66,2030-06-01-00:00,2030-07-01-00:00,24,1906516800,1909108800
67,2030-07-01-00:00,2030-08-01-00:00,24,1909108800,1911787200
68,2030-08-01-00:00,2030-09-01-00:00,24,1911787200,1914465600
69,2030-09-01-00:00,2030-10-01-00:00,24,1914465600,1917054000
70,2030-10-01-00:00,2030-11-01-00:00,24,1917054000,1919732400
71,2030-11-01-00:00,2030-12-01-00:00,24,1919732400,1922324400
72,2030-12-01-00:00,2031-01-01-00:00,24,1922324400,1925002800
73,2031-01-01-00:00,2031-02-01-00:00,24,1925002800,1927681200
74,2031-02-01-00:00,2031-03-01-00:00,24,1927681200,1930100400
75,2031-03-01-00:00,2031-04-01-00:00,24,1930100400,1932778800
76,2031-04-01-00:00,2031-05-01-00:00,24,1932778800,1935374400
77,2031-05-01-00:00,2031-06-01-00:00,24,1935374400,1938052800
78,2031-06-01-00:00,2031-07-01-00:00,24,1938052800,1940644800
79,2031-07-01-00:00,2031-08-01-00:00,24,1940644800,1943323200
80,2031-08-01-00:00,2031-09-01-00:00,24,1943323200,1946001600
81,2031-09-01-00:00,2031-10-01-00:00,24,1946001600,1948590000
82,2031-10-01-00:00,2031-11-01-00:00,24,1948590000,1951268400
83,2031-11-01-00:00,2031-12-01-00:00,24,1951268400,1953860400
84,2031-12-01-00:00,2032-01-01-00:00,24,1953860400,1956538800
85,2032-01-01-00:00,2032-02-01-00:00,24,1956538800,1959217200
86,2032-02-01-00:00,2032-03-01-00:00,24,1959217200,1961722800
87,2032-03-01-00:00,2032-04-01-00:00,24,1961722800,1964401200
88,2032-04-01-00:00,2032-05-01-00:00,24,1964401200,1966996800
89,2032-05-01-00:00,2032-06-01-00:00,24,1966996800,1969675200
90,2032-06-01-00:00,2032-07-01-00:00,24,1969675200,1972267200
91,2032-07-01-00:00,2032-08-01-00:00,24,1972267200,1974945600
92,2032-08-01-00:00,2032-09-01-00:00,24,1974945600,1977624000
93,2032-09-01-00:00,2032-10-01-00:00,24,1977624000,1980212400
