name,busbar,connected,pmax,pmin,heatrate_avg,vomc_avg,rampup,rampdn,minuptime,mindntime,startcost,shutdncost,uc_linear,faststart,fuel_name,co2_emission,unavailability,is_ncre,forced_commit,initialstate,initialtime,control_areas,auxserv,voltage
ALMENDRADO,NuevaPuertoMontt500,True,2.955,0.0,0.241463722,22.54208196,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ALMENDRADO_Diesel,0.58,0.000834805,False,False,off,0.0,SEN,0.0,500.0
ANCALI_1,Concepcion500,True,1.56,0.0,1.356509042,19.665,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANCALI_1_Biogas,0.0,0.624538562,False,False,off,0.0,SEN,0.0,500.0
ANDES_U1_DIE,Cumbre500,True,7.039,0.0,0.221015763,9.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U1_DIE_Diesel,0.41,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U2_DIE,Cumbre500,True,7.039,0.0,0.221015763,9.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U2_DIE_Diesel,0.29,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U3_DIE,Cumbre500,True,7.121,0.0,0.211849383,13.54,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U3_DIE_Diesel,0.0,0.0,False,False,off,0.0,SEN,0.0,500.0
ANDES_U4_DIE,Cumbre500,True,12.899,0.0,0.207416817,11.5,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANDES_U4_DIE_Diesel,0.36,0.0,False,False,off,0.0,SEN,0.0,500.0
ANTILHUE_U1,Pichirropulli500,True,46.432,0.0,0.225934693,29.49,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANTILHUE_U1_Diesel,0.0,0.07822374,False,False,off,0.0,SEN,0.0,500.0
ANTILHUE_U2,Pichirropulli500,True,47.971,0.0,0.229493663,29.49,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ANTILHUE_U2_Diesel,0.58,0.019755489,False,False,off,0.0,SEN,0.0,500.0
ARAUCO,Concepcion500,True,24.0,0.0,1.3514251,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_ARAUCO_Biomasa,0.0,0.015116648,False,False,off,0.0,SEN,0.0,500.0
BIO_CRUZ,Quillota500,True,5.2,0.0,0.267752854,6.94,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_BIO_CRUZ_GN,0.36,0.0,False,False,off,0.0,SEN,0.0,500.0
CALLECALLE,Pichirropulli500,True,11.6,0.0,0.222257955,21.68600997,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CALLECALLE_Diesel,0.35,0.05434,False,False,off,0.0,SEN,0.0,500.0
CAMPICHE,Quillota500,True,248.59,120.17,0.354550024,7.81,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CAMPICHE_Carbon,0.4,0.060682639,False,True,off,0.0,SEN,0.0,220.0
CANETE,Concepcion500,True,4.4,0.0,0.24,19.78,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CANETE_Diesel,0.77,0.0,False,False,off,0.0,SEN,0.0,500.0
CARDONES,NuevaCardones500,True,148.677,0.0,0.241560279,24.41,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CARDONES_Diesel,0.81,0.008429926,False,False,off,0.0,SEN,0.0,500.0
CASABLANCA_1,Quillota500,True,1.6,0.0,0.311,36.71,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CASABLANCA_1_Diesel,0.76,0.0,False,False,off,0.0,SEN,0.0,500.0
CASABLANCA_2,Quillota500,True,0.9,0.0,0.311,30.1,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CASABLANCA_2_Diesel,0.63,0.0,False,False,off,0.0,SEN,0.0,500.0
CELCO_BL1,Ancoa500,True,5.0,0.0,1.341907838,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CELCO_BL1_Biomasa,0.48,0.11665751,False,False,off,0.0,SEN,0.0,500.0
CELCO_BL2,Ancoa500,True,3.0,0.0,0.31,0.0,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CELCO_BL2_fuel_oil,0.75,0.11665751,False,False,off,0.0,SEN,0.0,500.0
CEMENTOS_BIOBIO_DIE,AltoJahuel500,True,12.078724,0.0,0.345966818,16.84,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CEMENTOS_BIOBIO_DIE_Diesel,0.6,0.05434,False,False,off,0.0,SEN,0.0,500.0
CENIZAS,NuevaCardones500,True,4.937,0.0,0.243169091,13.811,100.0,100.0,0,0,0.0,0.0,False,False,Fuel_CENIZAS_Diesel,0.38,0.05434,False,False,off,0.0,SEN,0.0,500.0
